Course Code
""
MECH 307
MECH 425
ME 453
ECE 162 (Electrical Laboratory)
ME 242 (Mechanical Engineering Systems)
ME 413
MATH 023 (Calculus III)
ENGR 005 (Introduction to Engineering Practice)
ME 255
ME 245 (Engineering Vibrations)
ME 366
MECH 312
ME 354
ME 423
ECE 083 (Introduction to Electrical Engineering)
ME 240 (Manufacturing)
ME 240
undefined
PHY 011& PHY 012 (Introductory Physics I and Lab)1
PHY 031
MECH 012 (Strength of Materials)
ME 104 (Thermodynamics I)
MATH 205 (Linear Methods)
ME 356
MECH 328
ME 343
Electives
HSS and Free Electives3
ME 360
MECH 408
CHE 386
ME 433
ME 207
MECH 012
CHE 373
HSS Elective
HSS & Free Electives3
WRT 002
MECH 305
ME 348
ME 364
MATH 309
ME 385
MATH 322
Select one of the following:
ME 452
ME 231 (Fluid Mechanics)
MECH 326
MECH 003
MECH 302
ME 430
ME 111 (Professional Development   [fall only])
ME 440
ME 021 (Mechanical Engineering Laboratory I)
Elective
ME 212
ME 211
PHY 021& PHY 022 (Introductory Physics II and Lab)
MATH 230 (Numerical Methods)
ME 355
or ME 453
ME 321
ME 017 (Numerical Methods in ME)
WRT 001
MATH 323
HSS Electives
MAT 218
ME 215
MECH 102 (Dynamics)
MATH 022 (Calculus II)
ECO 1 or HSS elective2
ME 304
PHY 363
MATH 021 (Calculus I)
MECH 003 (Fundamentals of Engineering Mechanics)
ME 322
MECH 313
Engineering Required/Technical-Elective courses
ME 333
MECH 102
ME 331
Select one of the following
ME 309
ME 362
ME 215 (Engineering Reliability)
ME 121 (Mechanical Engineering Lab II)
ME 010 (Graphics for Engineering Design)
ME 010
MATH 208 (Complex Variables)
ME 111 (Professional Development   (fall only])
ME 252
MAT 033 (Engineering Materials and Processes)
ME 252 (Mechanical Elements)
MATH 231 (Probability & Statistics)
CHE/ME 376
ME 402
ENGR 010& CHM 0301
