WRT 001
MATH 021 (Calculus I)
ENGR 005 (Introduction to Engineering Practice)
ENGR 0012
CHM 030
PHY 011
PHY 012 (Introductory Physics I and Lab)
WRT 002
MATH 022 (Calculus II)
ME 010 (Graphics for Engineering Design
MECH 003 (Fundamentals of Engineering Mechanics)
ME 017 (Numerical Methods in ME)
ME 033 (Engineering Materials and Processes)
MATH 023 (Calculus III)
ME 104 (Thermodynamics I)
MECH 012 (Strength of Materials)
MATH 205 (Linear Methods)
PHY 021 (Introductory Physics II and Lab)
PHY 022
HSS Elective
ME 021 (Mechanical Engineering Laboratory I)
ME 231 (Fluid Mechanics)
MECH 102 Dynamics
HSS Elective
ME 215 (Engineering Reliability)
ME 121 (Mechanical Engineering Lab II)
ME 240 (Manufacturing)
ME 252 (Mechanical Elements)
ME 211 
ECE 083 (Introduction to Electrical Engineering)
ECE 162 (Electrical Laboratory)
ME 242  (Mechanical Engineering Systems)
ME 111 (Professional Development (fall only])
Engineering Required/Technical-Elective courses
ME 212
HSS Elective
FREE Elective
ENGINEERING REQUIRED/ TECHNICAL ELECTIVE courses
HSS & FREE Electives
ME 321
ME 207
MECH 302
MECH 305
ME 304
ME 322
ME 331
ME 343
Engineering Elective B
Engineering Electives C
